mm,yyyy,Pemba_Airport,Mkoani,Weni,AMKarume_Airport,Victoria_Garden,Paje,Makunduchi,Kizimbani,Donge,JKNIA,Kisarawe
Apr,2001,261.8,528.4,296.6,642.8,-99.0,213.7,425.9,233.5,414.6,296.7,460.0
May,2001,226.1,491.7,279.5,290.3,-99.0,207.2,415.9,308.6,250.8,162.5,255.0
Jun,2001,86.4,128.3,123.0,34.6,-99.0,72.1,105.9,77.0,-99,14,35.0
Jul,2001,35.1,38.0,16.3,26.8,-99.0,0.1,28.1,19.2,-99,19.6,17.0
Aug,2001,20.5,53.6,18.5,16.2,-99.0,0.1,9.5,20.7,-99,3.9,14.0
Sep,2001,0.5,16.6,3.3,17.3,7.7,2.1,-99.0,19.5,-99,5,1.0
Oct,2001,3.5,6.8,2.7,9.3,11.5,0.2,0.2,44.8,-99,6.7,0.0
Nov,2001,19.2,42.9,80.4,31.4,91.2,18.2,18.2,102.5,132.8,15.5,5.0
Dec,2001,100.2,119.3,59.2,64.2,124.5,56.8,56.8,67.6,64.1,82.2,63.5
Jan,2002,49.7,32.6,119.3,123.1,131.9,69.1,133.3,161.4,103.5,81.9,86.6
Feb,2002,7.6,51.7,63.2,144.6,107.7,37.0,127.8,77.9,51.8,83.5,103.2
Mar,2002,68.4,109.2,198.0,109.6,91.4,136.1,103.7,272.5,366.9,197.2,302.5
Apr,2002,472.7,836.7,409.8,705.4,775.9,387.1,816.1,572.9,649.5,569.4,454.9
May,2002,108.2,230.6,175.2,78.3,84.7,92.5,154.3,165.9,135.5,30.1,44.4
Jun,2002,53.9,53.9,72.9,19.4,16.2,20.0,11.8,44.0,10.3,7,8.5
Jul,2002,67.8,31.6,35.0,87.6,70.6,39.6,9.2,73.6,-99,32.1,37.0
Aug,2002,55.7,85.6,32.5,104.6,156.5,33.5,106.9,171.9,-99,95.4,77.3
Sep,2002,121.6,88.1,-99.0,77.7,103.4,19.9,64.9,149.7,161.5,30.2,33.7
Oct,2002,68.5,128.1,-99.0,133.8,126.4,150.0,63.1,166.9,190.2,51.8,52.0
Nov,2002,79.9,139.1,383.0,204.9,164.5,30.9,53.1,251.7,245.1,98.9,89.2
Dec,2002,160.4,133.7,128.6,176.4,162.4,233.5,109.1,283.2,146.5,112.5,127.7
Jan,2003,17.6,0.0,0.0,4.1,0.1,2.5,31.0,2.1,0.8,20.1,28.7
Feb,2003,1.5,0.0,5.1,3.0,4.6,9.2,43.4,24.7,15.3,22.2,21.5
Mar,2003,45.2,158.3,-99.0,44.7,44.7,60.9,112.5,71.1,110.0,122.4,127.8
Apr,2003,130.6,81.1,140.4,32.4,17.7,211.6,146.9,58.8,54.8,13.7,40.6
May,2003,472.3,387.9,397.6,209.7,198.5,335.8,272.0,240.7,198.4,130.8,101.8
Jun,2003,48.2,82.5,60.5,38.4,26.8,74.2,78.6,69.2,48.5,109.5,24.8
Jul,2003,71.3,76.1,55.5,42.3,57.4,23.1,82.6,148.7,63.6,26.1,6.3
Aug,2003,28.9,-99.0,38.0,15.3,15.8,6.0,2.9,57.2,23.7,0.9,0.0
Sep,2003,23.8,8.1,12.6,23.7,49.4,5.4,0.8,95.1,-99,3.5,13.5
Oct,2003,88.2,162.8,132.9,108.7,115.6,58.6,5.6,159.4,145.6,22.4,24.6
Nov,2003,22.8,27.4,87.2,98.2,46.0,1.1,0.0,149.9,0.3,89.2,33.0
Dec,2003,27.5,96.0,67.8,83.5,45.6,4.3,12.9,75.5,46.5,24.6,7.8
Jan,2004,56.3,39.4,37.5,165.0,101.1,131.0,84.6,104.6,85.3,77.7,25.3
Feb,2004,90.1,130.8,61.6,257.6,171.7,181.5,181.5,279.6,271.0,149.8,212.5
Mar,2004,10.7,92.5,160.1,204.9,181.6,69.8,31.4,245.4,183.1,134.5,127.1
Apr,2004,378.2,459.8,387.1,549.2,427.3,425.4,460.6,411.2,296.9,297.6,245.3
May,2004,37.8,70.0,42.0,31.6,29.7,79.9,29.9,49.0,19.8,19.3,17.4
Jun,2004,109.0,59.7,68.5,53.0,37.6,95.9,74.6,89.5,50.4,42.7,51.0
Jul,2004,30.8,57.3,-99.0,22.8,18.0,29.1,42.7,45.2,52.9,0.9,1.0
Aug,2004,16.2,4.7,10.0,22.3,18.1,9.9,18.4,35.7,13.7,0.6,0.6
Sep,2004,8.2,10.6,19.8,20.8,20.7,1.9,8.7,38.1,132.6,31.1,4.0
Oct,2004,35.0,45.4,126.0,177.3,252.1,86.0,42.2,156.1,113.2,93.5,199.9
Nov,2004,116.2,175.5,252.5,238.6,276.0,56.5,39.5,235.9,221.7,65.5,81.0
Dec,2004,79.3,237.9,249.5,190.7,172.2,230.8,232.6,192.9,214.0,181.6,115.1
Jan,2005,61.2,0.0,36.0,63.6,28.9,40.8,59.4,77.6,70.3,154.8,25.3
Feb,2005,1.8,0.0,0.0,5.4,0.9,10.0,3.9,1.3,17.8,38.9,3.0
Mar,2005,53.6,206.7,92.5,216.6,150.6,208.0,145.2,181.9,189.3,80.2,164.2
Apr,2005,246.3,523.4,243.9,633.1,790.2,305.0,290.1,578.4,255.2,119.4,231.6
May,2005,611.5,398.1,440.6,339.1,309.6,494.7,532.3,378.2,101.6,302.6,264.9
Jun,2005,47.7,52.1,77.2,33.2,36.0,25.1,10.4,36.9,74.3,2.8,8.0
Jul,2005,119.6,100.3,132.2,37.0,23.1,5.8,3.1,17.7,28.8,14.9,11.5
Aug,2005,25.7,25.6,32.4,48.5,28.3,0.7,32.8,61.5,113.4,13.8,16.3
Sep,2005,61.9,19.8,27.5,8.0,20.3,0.0,8.0,43.9,55.8,10.5,6.0
Oct,2005,32.1,22.7,29.2,4.1,62.9,3.0,1.5,72.2,58.7,124.9,40.6
Nov,2005,40.6,108.9,170.6,133.1,164.4,88.9,74.1,186.3,206.8,24.5,59.8
Dec,2005,8.8,89.3,34.5,92.4,24.5,9.4,38.8,19.6,360.8,13.4,11.0
Jan,2006,30.1,59.2,43.5,184.6,49.1,10.8,10.9,65.7,22.5,6.4,41.0
Feb,2006,16.9,34.2,19.0,28.1,4.3,24.0,48.3,12.1,13.6,44,9.8
Mar,2006,172.0,248.3,322.4,243.3,174.5,121.2,135.7,135.1,298.9,243.5,163.9
Apr,2006,563.1,544.6,556.5,343.2,409.8,542.4,558.4,486.2,251.8,226.7,301.0
May,2006,377.3,356.5,375.9,185.0,212.7,221.8,296.6,162.8,198.0,166.4,121.0
Jun,2006,191.4,431.2,222.7,195.5,161.2,90.2,280.4,169.5,165.4,142.9,161.0
Jul,2006,31.0,51.5,61.9,32.5,24.3,9.3,9.3,38.6,39.0,15,14.9
Aug,2006,42.1,100.2,115.9,29.8,83.2,7.2,29.7,30.7,36.0,6.5,9.7
Sep,2006,50.6,48.5,48.7,60.4,88.6,14.4,6.0,33.3,39.0,23.8,29.3
Oct,2006,218.8,200.8,181.9,96.2,99.7,30.3,17.8,112.4,74.9,78.1,122.6
Nov,2006,94.3,148.8,222.2,259.1,288.0,108.0,46.2,246.0,113.2,240.9,295.7
Dec,2006,165.5,162.9,138.6,362.6,259.6,260.9,204.7,226.2,262.5,230.4,196.2
Jan,2007,3.2,0.0,0.9,41.0,65.4,50.8,7.3,32.4,16.8,8.5,41.0
Feb,2007,33.2,40.5,5.5,25.2,21.2,4.0,9.5,9.2,22.0,39.4,30.7
Mar,2007,252.9,363.5,200.9,387.6,362.7,202.0,198.1,229.4,152.8,201.4,135.0
Apr,2007,310.1,268.3,525.8,271.5,245.5,207.1,398.8,313.7,318.7,181.7,180.4
May,2007,500.3,779.4,668.4,527.4,539.2,424.0,429.3,402.3,396.6,124.2,128.2
Jun,2007,82.2,44.2,77.1,31.6,25.5,60.0,63.4,78.3,70.3,16.5,15.2
Jul,2007,43.2,83.0,61.5,11.7,16.4,34.2,34.2,22.3,11.7,0,3.8
Aug,2007,25.9,84.6,63.3,47.9,46.9,64.9,68.6,82.4,49.7,26.2,52.8
Sep,2007,21.9,27.7,25.6,38.9,35.1,0.7,0.7,24.6,26.9,14.3,3.2
Oct,2007,78.9,86.5,109.7,113.1,136.0,2.0,23.6,136.7,184.8,70.3,131.2
Nov,2007,28.3,84.9,174.8,213.7,149.9,170.3,126.8,112.0,114.6,113.7,137.0
Dec,2007,10.1,84.9,68.3,167.2,92.8,5.5,68.4,67.2,134.3,45.8,80.1
Jan,2008,-99.0,30.4,28.4,74.8,34.1,70.9,70.9,72.5,51.5,52.3,24.9
Feb,2008,11.9,0.0,6.0,8.2,13.1,5.5,5.5,34.8,5.0,56.1,55.1
Mar,2008,55.8,199.9,159.5,124.5,119.5,79.1,79.1,200.8,140.5,161.4,200.9
Apr,2008,380.5,379.8,353.9,584.0,555.2,467.1,467.1,526.6,516.9,303.8,378.9
May,2008,244.2,247.5,203.6,115.7,122.8,46.9,46.9,93.3,236.0,62.4,13.3
Jun,2008,69.9,58.4,80.2,64.6,65.6,12.1,12.1,64.8,24.2,10,13.5
Jul,2008,67.2,37.0,55.0,12.3,11.8,9.9,9.9,47.9,53.6,6.7,0.0
Aug,2008,17.2,19.2,10.9,51.2,56.3,5.9,5.9,41.3,44.1,10.4,18.4
Sep,2008,12.2,22.0,12.9,13.2,30.9,9.9,9.9,43.0,54.4,16.7,7.9
Oct,2008,41.4,56.4,90.8,90.2,77.1,20.8,20.8,110.5,57.6,95,165.2
Nov,2008,76.6,136.7,52.2,242.6,121.8,9.7,9.7,144.6,14.3,116.8,124.0
Dec,2008,-99.0,126.9,24.3,63.3,77.2,7.7,7.7,61.3,29.6,11.7,10.0
Jan,2009,15.6,0.0,28.4,106.2,54.8,0.9,108.0,35.4,23.1,17.9,26.4
Feb,2009,114.4,50.3,135.1,126.9,64.3,11.9,118.9,98.7,94.6,61.8,155.2
Mar,2009,159.8,0.0,115.0,154.1,181.6,27.9,129.3,175.4,169.4,103.8,140.3
Apr,2009,273.4,0.0,538.2,201.7,121.1,212.7,150.3,244.5,253.8,240.1,87.5
May,2009,257.4,0.0,352.3,111.8,80.6,50.5,90.8,143.1,161.1,25.2,52.4
Jun,2009,233.1,0.0,148.4,95.4,97.1,70.1,68.7,80.0,104.0,10.6,12.4
Jul,2009,8.2,45.9,18.0,9.3,14.5,47.5,23.0,30.9,68.7,1.4,5.0
Aug,2009,9.9,15.3,22.3,24.2,19.3,24.2,9.4,27.0,46.6,5.8,9.0
Sep,2009,1.5,0.0,3.1,2.1,3.7,2.5,0.0,5.8,50.2,2.1,0.0
Oct,2009,109.8,0.0,103.3,61.8,89.4,27.1,23.1,137.8,154.0,38.8,29.0
Nov,2009,68.1,81.8,120.5,194.9,130.9,13.6,17.4,56.6,64.8,18.2,46.5
Dec,2009,169.9,184.2,211.9,140.2,147.0,90.9,152.1,229.4,262.3,69.9,82.0
Jan,2010,28.7,38.1,9.7,46.6,51.4,99.0,85.5,49.4,60.0,14,16.6
Feb,2010,22.4,55.9,57.7,21.1,59.0,34.2,37.9,89.8,42.6,83.2,35.2
Mar,2010,225.0,131.9,259.1,223.3,251.0,83.0,145.8,129.5,77.5,167.7,145.9
Apr,2010,454.2,610.9,508.7,252.7,272.2,158.2,381.5,376.9,251.5,362.2,311.2
May,2010,551.5,869.8,654.6,193.8,188.1,113.8,202.4,298.0,318.5,119,213.5
Jun,2010,142.4,278.1,136.1,48.1,49.0,28.6,129.5,54.0,38.5,14.6,25.5
Jul,2010,32.3,32.8,51.6,0.3,4.5,5.8,18.6,2.9,0.0,7.1,2.2
Aug,2010,15.4,13.5,19.6,20.0,23.2,7.4,26.5,55.5,26.1,15.8,10.8
Sep,2010,13.8,29.5,20.2,43.4,38.5,3.4,31.1,54.6,174.6,46.2,19.9
Oct,2010,65.2,52.0,74.7,86.6,159.9,6.0,4.4,8.5,13.5,0.4,3.3
Nov,2010,17.8,345.4,74.3,169.1,147.1,14.7,64.4,187.1,87.0,48.7,48.5
Dec,2010,13.9,114.0,18.3,102.4,51.7,8.0,38.2,49.3,50.0,85.3,31.0
Jan,2011,6.1,22.3,11.8,48.8,15.4,3.3,52.8,35.9,20.5,4.1,-99
Feb,2011,37.7,18.8,29.2,1.7,2.1,23.6,46.0,0.6,0.0,103.8,-99
Mar,2011,60.1,164.5,227.5,51.9,18.5,42.4,198.1,286.5,219.3,26.3,-99
Apr,2011,312.7,461.1,317.2,463.4,330.7,88.6,296.1,549.9,392.5,224.4,-99
May,2011,412.4,576.7,425.4,262.8,352.1,194.6,202.4,339.5,412.1,106.7,-99
Jun,2011,24.3,82.3,36.9,38.3,41.4,5.5,5.5,47.1,52.5,29.7,-99
Jul,2011,39.0,20.9,34.0,0.7,1.2,16.4,5.0,33.6,0.0,11.9,-99
Aug,2011,22.7,20.6,21.1,30.2,21.3,8.9,6.8,42.0,42.7,26.3,-99
Sep,2011,44.8,57.9,114.9,147.4,136.0,9.8,22.1,177.8,172.7,54.4,-99
Oct,2011,232.2,216.8,230.2,218.0,157.0,47.3,64.6,141.9,161.5,31.6,-99
Nov,2011,148.9,319.5,213.2,393.2,279.1,50.7,101.7,390.9,332.8,316.5,-99
Dec,2011,-99.0,174.6,174.0,92.1,108.6,134.8,220.5,139.4,110.5,377.2,-99
